Dataset,Prompt,Reference
CNN_DailyMail,"Summarize: (CNN)Michele Bachmann is comparing President Obama to the co-pilot of the doomed Germanwings flight. ""With his Iran deal, Barack Obama is for the 300 million souls of the United States what Andreas Lubitz was for the 150 souls on the German Wings flight - a deranged pilot flying his entire nation into the rocks,"" the Minnesota Republican and former representative wrote in a Facebook comment posted March 31. ""After the fact, among the smoldering remains of American cities, the shocked survivors will ask, why did he do it?"" Andreas Lubitz, the co-pilot of Germanwings Flight 9525, is accused by authorities of deliberately crashing the plane in the French Alps. He died in the crash along with 149 other crew and passengers. The motive of the March 24 crash is under investigation, though investigators are looking in to whether Lubitz feared a medical condition would cause him to lose his pilot's license. Many comments posted on her Facebook page blasted the former representative. Melissa Coca wrote, ""Comparing this tragedy to anything is moronic and despicable."" Michael J Pristash wrote, ""Your allusion is so inappropriate and divisive, not to mention disrespectful on so many levels. Shame on you."" Some also accused her of taking desperate measures to stay in the public eye. Lynda Anderson wrote, ""Posting outrageous things in a pathetic attempt to stay relevant?"" Negotiations are coming down to the wire between Iran, the United States and other nations on restricting Tehran's nuclear program to prevent the ability to develop an atomic bomb. One deadline passed Tuesday, but there is a June 30 deadline for a comprehensive deal -- with all technical and diplomatic impasses fully worked out. Bachmann is no stranger to voicing her opinion on the President's dealing with Iran, personally telling him to ""bomb Iran"" during the 2014 White House Christmas Party. ""I turned to the president and I said, something to the effect of, 'Mr. President, you need to bomb the Iranian nuclear facilities, because if you don't, Iran will have a nuclear weapon on your watch and the course of world history will change,'"" she told the Washington Free Beacon. The congresswoman, who sought the GOP presidential nomination in 2012, said Obama had a ""condescending smile on his face and laughed at me."" She said he told her: ""Well Michele, it's just not that easy.""","Former GOP representative compares President Obama to Andreas Lubitz .
Bachmann said with possible Iran deal, Obama will fly ""entire nation into the rocks""
Reaction on social media? She was blasted by Facebook commenters ."
CNN_DailyMail,"Summarize: Norfolk, Virginia (CNN)The second mate of the Houston Express probably couldn't believe what he was seeing. Hundreds of miles from land there was a small boat nearby. At first it looked abandoned. It was in bad shape, listing to one side. The crew of the 1,000-foot long container ship thought it was a yacht that had wrecked. Incredibly, as they got closer, they saw there was a man on it, signaling for help. ""He was moving, walking around, waving to us and in surprisingly good condition,"" Capt. Thomas Grenz told CNN by phone Friday. That man, Louis Jordan, 37, had an amazing story. He'd been drifting on the 35-foot Pearson sailboat for more than two months since leaving Conway, South Carolina, to fish in the ocean. Just a few days into his trip, a storm capsized his boat and broke his mast. One of his shoulders was broken, too, so he couldn't fix the boat right away. Eventually he was able to rig a makeshift mast and sail, but he could make little headway against the currents. ""It took so long,"" Jordan said.  ""It moved so slowly."" The boat capsized two more times before he was rescued, according to Jordan. His father, Frank Jordan, told CNN's Jim Sciutto that he was expecting his son to look different. ""He looked good. Hadn't lost too much weight. He wasn't badly sunburned like I thought he probably would be,"" he said. Lost at sea for 66 days . After his food and water ran out, it became an issue of survival. Collecting fresh water was a nightmare for Jordan.  The weather wouldn't cooperate. Records show there were more than a dozen storms off the coast of the Carolinas during the time he was missing. The precipitation came at night during harsh conditions. ""I had tried to collect (rain)water ... but every time the waves would splash into the boat,"" Jordan said.  ""The waves would put saltwater into my freshwater and it tasted bad. ""Finally the conditions were right.  I filled up my water tank, which is 25 gallons.  I filled up a bucket."" Then there was the issue of food. The fish weren't cooperating, but after a while Jordan learned they were attracted to his laundry, which he would put out to sea for a rinse. The fish would swim in and out of his clothes and he could easily scoop them up with a hand net, he said. Jordan came ashore Thursday evening. CNN affiliate WAVY in Norfolk, Virginia, reported that he was able to walk from the helicopter into Sentara Norfolk General Hospital about 7:30 p.m. Coast Guard officials have said they have found no reason to doubt Jordan's incredible story. They noted that his father contacted them January 29 to report his son and his boat missing. Frank Jordan addressed the skepticism about his son's appearance, saying the boat stayed afloat and upright most of the time. His son spent most of his days in the cabin, out of the sun. Frank Jordan said it was obvious when the Jordans met at the hospital Friday morning that his normally low-key and private son had been through an ordeal. ""I know he went through what he went through,"" Frank Jordan said. Jordan is an unemployed truck driver who lived on his boat at a marina in Conway. He had free rent and free food in the river, he said. But when it became difficult to catch dinner, he took off for the ocean in hopes he would land some bigger fish. Frank Jordan told CNN's Wolf Blitzer on Thursday that he had worried about his son, who is an inexperienced sailor, but he held hope because his son had a good boat. And he had the strength to make it. ""He's got a very strong constitution and (is strong) not only physically, but spiritually,"" Frank Jordan said. ""And he told me on the phone that he was praying the whole time, so I believe that sustained him a great deal."" Rescue swimmer Kyle McCollum was the first to care for Jordan on the flight back to land. ""You would expect sunburns, severe sunburn, blisters maybe ... a bunch of medical issues that could possibly be wrong with him,"" he said. ""But for him to be in his current state was pretty amazing."" Grenz was also surprised by Jordan's condition, physically and mentally. The rescued sailor knew almost exactly what day it was, remarkable for someone who had been on the water for more than 60 days. Jordan was dehydrated and said he was hungry. ""We took him to a rescue boat,"" the container ship captain said. ""He was given water and pea soup to gain some power again."" Derriel Morris, a neighbor at the Bucksport Plantation Marina & RV Resort called Jordan a nice guy who loved his 47-year-old boat, named ""Angel."" Morris said: ""It was immaculate, it was gorgeous, beautifully painted. I mean it looked like a brand new sailboat."" Morris told CNN affiliate WPDE that one day in January he was going to the store and Jordan asked him to bring back some coffee creamer. But when he returned to the marina, Jordan had slipped away. ""There was no shore line, no hose; it was like he was never there,"" Morris told the station. After he disappeared others who also live there held a candlelight ceremony. The marina's manager, Jeff Weeks, told WPDE that Jordan is expected to be back at Buscksport next week. Tales of people who cheated death after days, weeks adrift .","Father: ""I know he went through what he went through""
Louis Jordan was found on his sailboat, which was listing and in bad shape, rescuer says .
He appears to be in good shape, physically and mentally ."
CNN_DailyMail,"Summarize: (CNN)The United States and its negotiating partners reached a very strong framework agreement with Iran in Lausanne, Switzerland, on Thursday that limits Iran's nuclear program in such a way as to effectively block it from building a nuclear weapon. Expect pushback anyway, if the recent past is any harbinger. Just last month, in an attempt to head off such an agreement, House Speaker John Boehner invited Israeli Prime Minister Benjamin Netanyahu to preemptively blast it before Congress, and 47 senators sent a letter to the Iranian leadership warning them away from a deal. The debate that has already begun since the announcement of the new framework will likely result in more heat than light. It will not be helped by the gathering swirl of dubious assumptions and doubtful assertions. Let us address some of these: . The most misleading assertion, despite universal rejection by experts, is that the negotiations' objective at the outset was the total elimination of any nuclear program in Iran. That is the position of Netanyahu and his acolytes in the U.S. Congress. But that is not and never was the objective. If it had been, there would have been no Iranian team at the negotiating table. Rather, the objective has always been to structure an agreement or series of agreements so that Iran could not covertly develop a nuclear arsenal before the United States and its allies could respond. The new framework has exceeded expectations in achieving that goal. It would reduce Iran's low-enriched uranium stockpile, cut by two-thirds its number of installed centrifuges and implement a rigorous inspection regime. Another dubious assumption of opponents is that the Iranian nuclear program is a covert weapons program. Despite sharp accusations by some in the United States and its allies, Iran denies having such a program, and U.S. intelligence contends that Iran has not yet made the decision to build a nuclear weapon. Iran's continued cooperation with International Atomic Energy Agency inspections is further evidence on this point, and we'll know even more about Iran's program in the coming months and years because of the deal. In fact, the inspections provisions that are part of this agreement are designed to protect against any covert action by the Iranians. What's more, the rhetoric of some members of Congress has implied that the negotiations have been between only the United States and Iran (i.e., the 47 senators' letter warning that a deal might be killed by Congress or a future president). This of course is not the case. The talks were between Iran and the five permanent members of the U.N. Security Council (United States, United Kingdom, France, China and Russia) plus Germany, dubbed the P5+1. While the United States has played a leading role in the effort, it negotiated the terms alongside its partners. If the agreement reached by the P5+1 is rejected by Congress, it could result in an unraveling of the sanctions on Iran and threaten NATO cohesion in other areas. Another questionable assertion is that this agreement contains a sunset clause, after which Iran will be free to do as it pleases. Again, this is not the case. Some of the restrictions on Iran's nuclear activities, such as uranium enrichment, will be eased or eliminated over time, as long as 15 years. But most importantly, the framework agreement includes Iran's ratification of the Additional Protocol, which allows IAEA inspectors expanded access to nuclear sites both declared and nondeclared. This provision will be permanent. It does not sunset. Thus, going forward, if Iran decides to enrich uranium to weapons-grade levels, monitors will be able to detect such a move in a matter of days and alert the U.N. Security Council. Many in Congress have said that the agreement should be a formal treaty requiring the Senate to ""advise and consent."" But the issue is not suited for a treaty. Treaties impose equivalent obligations on all signatories. For example, the New START treaty limits Russia and the United States to 1,550 deployed strategic warheads. But any agreement with Iran will not be so balanced.  The restrictions and obligations in the final framework agreement will be imposed almost exclusively on Iran. The P5+1 are obligated only to ease and eventually remove most but not all economic sanctions, which were imposed as leverage to gain this final deal. Finally some insist that any agreement must address Iranian missile programs, human rights violations or support for Hamas or Hezbollah.  As important as these issues are, and they must indeed be addressed, they are unrelated to the most important aim of a nuclear deal: preventing a nuclear Iran.  To include them in the negotiations would be a poison pill. This agreement should be judged on its merits and on how it affects the security of our negotiating partners and allies, including Israel. Those judgments should be fact-based, not based on questionable assertions or dubious assumptions.","Richard Klass: Iran framework agreement on nukes is strong, but opponents will cast doubts on this and try to obscure its facts .
He says the deal would cut uranium stockpile, centrifuges, implement rigorous inspections; it should be judged on merits, not disinformation ."
CNN_DailyMail,"Summarize: Los Angeles (CNN)It's more than just one state's internal problem. The historic California drought hurts the rest of the union, too. That's because California is a breadbasket to the nation, growing more than a third of its vegetables and nearly two-thirds of its fruits and nuts. Here's why we should heed the ongoing drought in the most populous state, a slowly expanding natural disaster now in its fourth year that this week prompted Gov. Jerry Brown to announce a mandatory 25% cutback in water consumption in all cities. In 2014, one expert predicted consumers would pay more for some groceries because of the California drought. He was often right, according to statistics gathered by Timothy Richards, agribusiness professor at Arizona State University. Prices rose last year for these items on your kitchen table: . • Berries rose in price by about 80 cents per clamshell to $3.88 . • Broccoli by 11 cents per pound to $1.89. • Grapes by 64 cents a pound to $3.06 . • Melons by 24 cents a pound to $1.23. • Packaged salad by 23 cents a bag to $2.91. • Peppers by 26 cents a pound to $2.39. Though fruits and vegetable prices fell in February, overall prices are expected to rise this year, because of inflation, U.S. Department of Agriculture economist Annemarie Kuhns said. Fresh fruit prices are projected to rise between 2.5% and 3.5%, and vegetables between 2% and 3%, close to historical average increases, Kuhns said. Whether the California drought will affect food prices again this year is unknown, thanks to a strong dollar. The greenback's strength allows producers to import crops that may be withering under the absence of West Coast rain or other misfortunes elsewhere in the nation, Kuhns said. Moreover, the drop in oil prices also eases the cost of transporting food from California to the other 49 states, she said. What economists don't know yet is whether farmers will plant fewer crops because of the drought. Those decisions are now being made in the field and could boost supermarket prices, she said. ""The drought in California does have the potential to impact the price we pay for fresh fruit and fresh vegetables and dairy and fresh eggs we pay at the counter,"" Kuhns said. ""We are not sure what the exact impact will be."" The reality is there's a major drought throughout the West and Southwest. While not as bad as California, Texas and Oklahoma are also seeing extreme and exceptional drought -- the two worst categories -- in several parts of their states, the U.S. Drought Monitor said this week. Overall, the Western drought affects more than 52 million people, the monitor says. As a result, consumers paid a whopping extra 12.1% for beef and veal in 2014, the USDA reports. Straining under a drought that began in 2012, ranchers in Texas and Oklahoma last year saw smaller grazing pastures, paid more for feed, and experienced difficulties accessing water to cool their cattle. So the cattlemen began culling their herds, Kuhns said. This year's beef and veal prices should rise only by 6% at most, still higher than the 4.1% historical average, the feds project. But beef prices offer an object lesson about the drought. ""There's other areas being affected,"" Kuhns said. It's called the Golden State for the gold rush of yore, but let's face it: the rest of the nation flocks to California for vacation because of another golden reason. Its year-round sunshine. So the next time you take a holiday in California, you'll find a few changes around here, thanks to the drought. Like asking for a glass of water at a restaurant. You won't find water waiting for you on the table. Eateries now ""can only serve water to customers on request,"" the State Water Resources Control Board declared in March under expanded emergency regulations. Tourists can also expect to hear a lot of requests at hotels about whether they want their linens and towels laundered daily. These requests are mandatory under the new regulations. And they'll see fewer homes running decorative fountains. Because much of the snowpack in the Sierra Nevada has alarmingly disappeared, many ski resorts shut down early this year, including at Lake Tahoe, and some are now building zip lines, mountain bike trails and wedding venues to keep tourists coming, the Sacramento Bee reported. ""If the drought continues through next winter and we do not conserve more, the consequences could be even more catastrophic than they already are,"" State Water Board Chair Felicia Marcus said in March. But what about those yummy California wines, you ask? Guess what. They're only getting better -- because of the drought. Yes, you read that right. The 2014 wine grape harvest was ""third in a string of great vintages this decade,"" the Wine Institute says. ""California vintners and growers across the state are grateful for another excellent vintage, despite an ongoing drought and earthquake that rocked south Napa in late August just as crush was getting underway,"" the institute said in a statement last year. ""A mild winter and spring caused early bud break, although the overall length of the growing season was similar to past years."" Wine grapes use relatively low water, said institute spokeswoman Gladys Horiuchi. ""Yes, drought years tend to produce terrific quality,"" she added. ""With the record high California wine grape harvests in 2012, 2013 and 2014, there is a good supply of California wine."" That may be the only thing to toast about this drought.","Americans paid more for some fruits and vegetables last year because of the drought .
Tourists will now have to ask for a glass of water at a California restaurant .
Perhaps the only good thing is another ""great"" wine grape harvest last year ."
CNN_DailyMail,"Summarize: (CNN)The FBI charged a Philadelphia woman on Thursday with trying to travel overseas to fight for ISIS. She's one of three women arrested this week on terror charges. Two New York women were also taken into custody. An FBI complaint cites numerous social media messages dating back to August 2013 that were sent by Keonna Thomas, 30, also known as ""Young Lioness"" and ""Fatayat Al Khilafah."" One Twitter message said, ""If we truly knew the realities ... we all would be rushing to join our brothers in the front lines pray ALLAH accept us as shuhada [martyrs]."" Another said, ""When you're a mujahid [violent jihadi fighter] your death becomes a wedding."" The FBI said Thomas purchased an electronic visa to Turkey on March 23. Turkey is known as the easiest place from which to enter Syria and join ISIS. An ISIS manual advises recruits to buy round-trip tickets to vacation spots such as Spain and then purchase tickets for their real destination once they arrive overseas, the FBI said. On March 26, Thomas purchased a ticket to Barcelona, with a March 29 departure and an April 15 return to the United States, the complaint said. It's not clear when or where she was arrested. She was charged with knowingly attempting to provide material support and resources to a designated foreign terrorist organization. She could be sentenced to 15 years in prison. On Thursday, Noelle Velentzas, 28, and her former roommate, Asia Siddiqui, 31, were arrested in New York and accused of planning to build an explosive device for attacks in the United States, federal prosecutors said. In the past 18 months, the Justice Department's National Security Division has prosecuted or is prosecuting more than 30 cases of people attempting to travel abroad to join or provide support to terrorist groups. Of those cases, 18 allegedly involve support to ISIS. ""The terrorist threat is more decentralized, more diffuse, more complicated,"" Homeland Security Secretary Jeh Johnson told reporters Thursday. ""It involves the potential lone wolf actor, it involves the effective use of social media, the Internet.""","The FBI cites social media messages sent by Keonna Thomas, 30 .
She's accused of trying to travel overseas to join ISIS .
Thomas is one of three women facing federal terror charges this week ."
CNN_DailyMail,"Summarize: (CNN)Since Iran's Islamic Revolution in 1979, women have been barred from attending most sports events involving men. But the situation appears set to improve in the coming months after a top Iranian sports official said that the ban will be lifted for some events. A plan to allow ""women and families"" to enter sports stadiums will come into effect in the next year, Deputy Sports Minister Abdolhamid Ahmadi said Saturday, according to state-run media. But it isn't clear exactly which games women will be able to attend. According to the state-run Press TV, Ahmadi said the restrictions would be lifted for indoor sports events. The rules won't change for all matches because some sports are mainly related to men and ""families are not interested in attending"" them, Press TV cited him as saying. Iranian authorities imposed the ban on women attending men's sports events after the revolution, deeming that mixed crowds watching games together was un-Islamic. During the ensuing decades, the crowds at soccer games, Iran's most popular sport, have been all male. Iranian women were briefly permitted to attend volleyball matches under the moderate President Mohammad Khatami, but the ban was reinstated in 2005 after the more hard-line Mahmoud Ahmadinejad came to power. The Iranian government has come under pressure from international sports officials over the restrictions. FIFA President Sepp Blatter called on Iran last month to end its ""intolerable"" ban on women attending soccer matches, saying the situation ""cannot continue."" Iran had been in the running to host the 2019 edition of soccer's Asian Cup, but the tournament was awarded to the United Arab Emirates. The ban on women attending matches was widely seen as a major impediment to Iran's chances of securing the event. The ban came under the spotlight at the Asian Cup in Australia earlier this year, when thousands of female Iranian fans watched their soccer team without restriction. During the match against Iraq, activists called for the ban to end and unfurled a banner showing the face of Ghoncheh Ghavami, a British-Iranian woman detained in Iran last year while trying to watch a volleyball match. Iranian officials have denied that Ghavami was arrested for attending the volleyball game, saying she was taken into custody for ""anti-Iran activities."" The news agency Reuters reported that she was recently pardoned by the Court of Appeal. CNN's Annie Ramos contributed to this report.","Iranian sports official: The ban will be lifted for some events in the coming year .
But he says ""families are not interested in attending"" some sports matches ."
CNN_DailyMail,"Summarize: (CNN)Just as mimeograph machines and photocopiers were in their day, online activity -- blogs, YouTube channels, even social media platforms like Facebook and Twitter -- have fully emerged as the alternative to traditional mainstream media. It is not just the low cost of posting online that attracts dissidence, though that in itself is liberating. It is the lack of access to traditional print and broadcast media in authoritarian countries that is really the driving force leading disaffected voices to post online. It is not unique to Asia, but it might seem more pronounced if you live there. Going online has become the path of least resistance if you want to make yourself heard. But it still brings resistance, some of it legal, some of it deadly. Let's look at the legal angle first. Amos Yee, the teenage video blogger who was arrested and held pending bail Sunday in Singapore, drew international attention for his anti-Lee Kuan Yew harangue. But jailing critics is not usually the government's first choice in Singapore. It is part of Lee Kuan Yew's legacy that the government's use of the courts to bring libel and defamation cases, usually carrying heavy financial penalties, is the preferred method of silencing discomfiting online voices. His father has reportedly apologized for his son's behavior, but the younger Yee could face up to three years in jail. Yee is not unique. Another dissident blogger in Singapore, Roy Ngerng, continues to suffer financial and legal pressure, including the loss of his job, because of a blog post that allegedly accused the city-state's Prime Minister, Lee Hsien Loong, of corruption. Ngerng's concern is with the lack of transparency in the management of the Central Provident Fund, the government's compulsory pension program. Yee and Ngerng are two of many. The Committee To Protect Journalists' file on Singapore going back to 2000 has a long string of similar cases, some against politicians, others against citizens simply frustrated with their government. But it is not just Singapore where Internet activity comes under fire: On Monday in Malaysia, with much less of the international attention heaped on Amos Yee, five editors and executives from The Malaysian Insider were arrested over the site's March 25 report claiming that a senior council of royal rulers and state governors, known as the Conference of Rulers, had rejected a proposal to amend federal law to allow for the introduction of hudud, or punishments meted out under Islamic law. In deeply Muslim Malaysia, questions of Islamic faith are a third-rail issue, as is revealing government decisions before they are announced. By far the biggest jailer of journalists in the world is China, where a majority of the 44 people behind bars at the end of 2014 were bloggers, most of them Uighur or Tibetan activists who straddle the line between journalism and activism. But in second place in Asia is Vietnam, where CPJ's most recent prison census showed Vietnam holding 16 reporters behind bars as of December 1. Add one more in late December, Nguyen Dinh Ngoc, a prominent blogger who was arrested for ""law-violating"" after police searched his home in southern Ho Chi Minh City on December 27, and two more in January, Nguyen Quang Lap and Hong Le Tho, arrested on anti-state charges of ""abusing democratic freedoms"" and you can see the pattern. Because the print and broadcast media are so totally government controlled, mainstream journalists seldom go to jail any more in Vietnam. Only two investigative print reporters remain behind bars in Vietnam, their cases dating back to 2012 and 2013. Both were accused of accepting bribes for dialing back critical news coverage. The list could go on, but the reality is that, as CPJ wrote in 2013, across Asia ""governments have curtailed Internet freedoms through increasingly restrictive practices, including prohibitive laws, heightened surveillance and censorship, and threats of imprisonment on various national security-related offenses."" That is still the policy path being followed by most countries in Asia, and it does not look like it will be changing any time soon. Jailing journalists is one thing, but watching them being killed and doing little or nothing about it is another. Since 1992, 11% of journalists killed have died for their work online. Because our 1992 start date really precedes the full advent of the Internet, that proportion can be expected to grow. While most bloggers have not been the targets of murderers, Bangladesh has recently become the exception. On Monday, Washiqur Rahman Babu was the second blogger to be hacked to death in public in Bangladesh in the past five weeks. Blogger Avijit Roy and his wife, Rafida Ahmed Bonna, were attacked by assailants wielding sharp weapons while the couple was visiting Dhaka. Roy, a U.S. citizen of Bangladeshi origin, was killed and his wife was critically injured. Both Rahman and Roy had written critically on Islamic matters. The blogger death toll gets higher in Bangladesh if you go back a year or two, and religious beliefs are always involved, and the killings almost always carried out with near perfect impunity. In January 2013, blogger Asif Mohiuddin, who wrote critical commentary on religion, Islamist groups, free speech, and human rights, barely survived after he was stabbed by Islamists. In February 2013, blogger Ahmed Rajib Haider, who had written about Islamic fundamentalism and Islamist groups, was hacked to death by members of an Islamist militant group, according to police investigations. Later in 2013, Islamist groups called for the execution of bloggers they said had committed blasphemy. While arrests were made after those murders, there have been no convictions. The bottom line: Online journalists, operating outside the restraints of mainstream media, have become the most vulnerable targets for governments and independent actors. Where there is the restrictive rule of law, journalists are vulnerable to the anger of officialdom. Where the rule of law is weak, they are vulnerable to the attacks of killers who seldom, if ever, answer to the rule of law.","Going online has become the path of least resistance if you want to make yourself heard .
But where there is the restrictive rule of law, journalists are vulnerable to the anger of officialdom .
From China to Malaysia, journalists and bloggers have been jailed -- even killed ."
CNN_DailyMail,"Summarize: (CNN)When singer Avril Lavigne went missing from the music scene, there was tons of speculation. Was she pregnant? In rehab? Going through a split from her husband, Nickelback front man Chad Kroeger? Focus on the mystery intensified in December after a fan Twitter account posted a direct message from Lavigne when she solicited prayers, saying she was ""having some health issues."" Now the Canadian singer has revealed to People magazine that she was bedridden for five months after contracting Lyme disease. ""I felt like I couldn't breathe, I couldn't talk, and I couldn't move,"" she told the magazine. ""I thought I was dying."" Lyme disease: What you should know . Lavigne believes that she was bitten by a tick last spring. What followed was months of lightheadedness and lethargy that doctors were initially unable to diagnose. The 30-year-old performer said she recuperated in her Ontario home, where her husband would use tour breaks to care for her and her mother moved in to assist. ""There were definitely times I couldn't shower for a full week because I could barely stand,"" she told People. ""It felt like having all your life sucked out of you."" Opinion: Why you should be afraid of Lyme disease . After her direct message about her health went viral, Lavigne was inundated with concern from fans. ""The get-well messages and videos they sent touched me so deeply,"" she said. Now declaring herself ""80 percent better,"" Lavigne is releasing a new single this month to support the 2015 Special Olympics and says that being ill was a ""wake-up call"" that has given her a new perspective. ""I really just want to enjoy life from here on out,"" she said.","The singer had been off the scene for a while .
She says she was bedridden for months .
Lavigne was sometimes too weak to shower ."
CNN_DailyMail,"Summarize: (CNN)A trip to a former heavyweight champ's gaudy, abandoned mansion. The tallest and fastest ""giga-coaster"" in the world. A dramatic interview with a famed spiritual leader -- and the tearful reaction by one of his former students. These are some of the best videos of the week: . In the 1980s and '90s -- before he moved to Vegas and started keeping tigers as pets -- former heavyweight boxer Mike Tyson lived in a Southington, Ohio, mansion. The home featured an indoor swimming pool, a marble-and-gold Jacuzzi (with mirrored ceiling, naturally) and an entertainment room large enough for small concerts. Tyson sold the house in 1999; it's due to become, of all things, a church. The video can be seen at the top of this story. Not a fan of roller coasters? You may want to skip the next video -- but for the rest of us, the thrill of watching is the next best thing to being there. The Fury 325 can be found at Carowinds amusement part in Charlotte, North Carolina. Watch the video: . In a CNN exclusive, Alisyn Camerota looked into allegations that Bikram yoga creator Bikram Choudhury sexually assaulted six former students. ""He's a person who's based a lot of truths on a lot of lies,"" said Sarah Baughn, who alleges that Choudhury sexually assaulted her. Watch the video: . CNN's Karl Penhaul spoke to a shepherd who witnessed the final seconds of Germanwings Flight 9525, which crashed in the French Alps last week. ""I saw the plane heading down along the valley and I said, 'My God, it's going to hit the mountain,' "" Jean Varrieras told Penhaul. ""I ducked my head. ... Then after that, I saw the smoke."" Watch the video: . Magician and comedian Penn Jillette was part of a panel speaking to CNN's Don Lemon about the controversial Indiana religious freedom law. Jillette, an avowed atheist and libertarian, noted ""we are not talking about forcing people to engage in gay sex, or even endorse gay sex."" His provocative opening led to an energetic back-and-forth with the Alliance Defending Freedom's Kristen Waggoner and the ACLU's Rita Sklar. Watch the video: . A professor of physics at a British university asked 100 people to create a composite with facial features they thought were beautiful -- and then asked another 100 to rate their attractiveness. You'll never guess what celebrities best fit the model. Watch the video: .","Here are six of CNN's best videos of the week .
Clips include a look at Mike Tyson's abandoned mansion ."
CNN_DailyMail,"Summarize: Washington (CNN)Israeli Prime Minister Benjamin Netanyahu criticized the deal six world powers struck to thwart Iran's nuclear ambitions, saying he sees better options than ""this bad deal or war."" ""I think there's a third alternative, and that is standing firm, ratcheting up the pressure until you get a better deal,"" Netanyahu told CNN's Jim Acosta Sunday on ""State of the Union."" His comments come as Democrats and Republicans spar over the framework announced last week to lift Western sanctions on Iran in exchange for the country dropping from 19,000 to 5,060 active centrifuges, limiting its highly enriched uranium, and increasing inspections. President Barack Obama endorsed the deal, saying it was better than the alternatives. But GOP contenders for the party's 2016 presidential nomination lambasted it, saying it gave Iran too much flexibility. On Sunday, the sparring continued. One Senate Democrat said Netanyahu needs to ""contain himself."" And a top Republican said almost any of Obama's successors as president ""could do better."" Netanyahu's most recent argument against the Iran nuclear deal was similar to the one he'd made in a March trip to Washington, when he addressed a joint session of Congress -- fueling a Republican push to have the deal sent to Congress before it's implemented. ""It does not roll back Iran's nuclear program. It keeps a vast nuclear infrastructure in place. Not a single centrifuge is destroyed. Not a single nuclear facility is shut down, including the underground facilities that they built illicitly. Thousands of centrifuges will keep spinning, enriching uranium,"" Netanyahu said Sunday. ""That's a very bad deal. "" Netanyahu said Iran is a country of ""congenital cheating"" and that it can't be trusted to abide by the terms of the deal, which lasts 10 years with some provisions extending well beyond that. He said his opposition has little to do with his frosty relationship with Obama. ""I think that we can have a legitimate difference of opinion on this, because I think Iran has shown to be completely distrustful,"" Netanyahu said. Democratic Sen. Dianne Feinstein of California, meanwhile, said she wishes Netanyahu ""would contain himself."" The top-ranking Democrat on the Senate Intelligence Committee said negotiators working on the deal -- from Iran and the United States, as well as Russia, China, Britain, France and Germany -- are ""on the cusp of something that can be workable."" ""It's a framework. It has to be wrapped into a final agreement. There still can be some changes,"" Feinstein said. ""But I don't think it's helpful for Israel to come out and oppose this one opportunity to change a major dynamic -- which is downhill, a downhill dynamic in this part of the world."" Energy Secretary Ernest Moniz defended the deal in an appearance on CBS' ""Face the Nation"" on Sunday, saying it would extend from two months to one year the ""breakout"" time period -- the length of time it would take Iran to build a nuclear bomb. He said it also allows for the ""almost instantaneous recognition of any attempt to evade the deal."" ""We have blocked all of these pathways to a bomb,"" he said. Sen. Lindsey Graham, R-South Carolina, said on ""Face the Nation"" that the best option for the United States is to keep current sanctions in place for two more years and then have a ""new crack at it with a new president that doesn't have the baggage of Obama."" And he said the alternatives to Obama on both sides -- with the exception of Sen. Rand Paul of Kentucky, who's called for a less active U.S. role overseas -- would likely strike a better deal. ""Hillary Clinton would do better. I think everybody on our side, except, maybe, Rand Paul, could do better,"" Graham said.","Netanyahu says third option is ""standing firm"" to get a better deal .
Political sparring continues in U.S. over the deal with Iran ."
